label,message
ham,"Go until jurong point, crazy.."
ham,Ok lar... Joking wif u oni...
spam,Free entry in 2 a wkly comp to win FA Cup...
ham,U dun say so early hor... U c already then say...
ham,"Nah I don't think he goes to usf, he lives around here though"
spam,WINNER!! As a valued network customer you have been selected...
ham,I'm gonna be home soon and i don't want to talk about this stuff anymore tonight...
ham,I've been searching for the right words to thank you for this breather.
spam,"SIX chances to win CASH! From 100 to 20,000 pounds txt> CSH11 and send to 87575."
spam,"XXXMobileMovieClub: To use your credit, click the WAP link..."
ham,"Go until jurong point, crazy.. #10"
ham,Ok lar. Joking wif u oni. #11
spam,Free entry in 2 a wkly comp to win FA Cup. #12
ham,U dun say so early hor. U c already then say. #13
ham,"Nah I don't think he goes to usf, he lives around here though #14"
spam,WINNER!! As a valued network customer you have been selected. #15
ham,I'm gonna be home soon and i don't want to talk about this stuff anymore tonight. #16
ham,I've been searching for the right words to thank you for this breather. #17
spam,"SIX chances to win CASH! From 100 to 20,000 pounds txt> CSH11 and send to 87575. #18"
spam,"XXXMobileMovieClub: To use your credit, click the WAP link. #19"
ham,"Go until jurong point, crazy.. #20"
ham,Ok lar. Joking wif u oni. #21
spam,Free entry in 2 a wkly comp to win FA Cup. #22
ham,U dun say so early hor. U c already then say. #23
ham,"Nah I don't think he goes to usf, he lives around here though #24"
spam,WINNER!! As a valued network customer you have been selected. #25
ham,I'm gonna be home soon and i don't want to talk about this stuff anymore tonight. #26
ham,I've been searching for the right words to thank you for this breather. #27
spam,"SIX chances to win CASH! From 100 to 20,000 pounds txt> CSH11 and send to 87575. #28"
spam,"XXXMobileMovieClub: To use your credit, click the WAP link. #29"
ham,"Go until jurong point, crazy.. #30"
ham,Ok lar. Joking wif u oni. #31
spam,Free entry in 2 a wkly comp to win FA Cup. #32
ham,U dun say so early hor. U c already then say. #33
ham,"Nah I don't think he goes to usf, he lives around here though #34"
spam,WINNER!! As a valued network customer you have been selected. #35
ham,I'm gonna be home soon and i don't want to talk about this stuff anymore tonight. #36
ham,I've been searching for the right words to thank you for this breather. #37
spam,"SIX chances to win CASH! From 100 to 20,000 pounds txt> CSH11 and send to 87575. #38"
spam,"XXXMobileMovieClub: To use your credit, click the WAP link. #39"
ham,"Go until jurong point, crazy.. #40"
ham,Ok lar. Joking wif u oni. #41
spam,Free entry in 2 a wkly comp to win FA Cup. #42
ham,U dun say so early hor. U c already then say. #43
ham,"Nah I don't think he goes to usf, he lives around here though #44"
spam,WINNER!! As a valued network customer you have been selected. #45
ham,I'm gonna be home soon and i don't want to talk about this stuff anymore tonight. #46
ham,I've been searching for the right words to thank you for this breather. #47
spam,"SIX chances to win CASH! From 100 to 20,000 pounds txt> CSH11 and send to 87575. #48"
spam,"XXXMobileMovieClub: To use your credit, click the WAP link. #49"
ham,"Go until jurong point, crazy.. #50"
ham,Ok lar. Joking wif u oni. #51
spam,Free entry in 2 a wkly comp to win FA Cup. #52
ham,U dun say so early hor. U c already then say. #53
ham,"Nah I don't think he goes to usf, he lives around here though #54"
spam,WINNER!! As a valued network customer you have been selected. #55
ham,I'm gonna be home soon and i don't want to talk about this stuff anymore tonight. #56
ham,I've been searching for the right words to thank you for this breather. #57
spam,"SIX chances to win CASH! From 100 to 20,000 pounds txt> CSH11 and send to 87575. #58"
spam,"XXXMobileMovieClub: To use your credit, click the WAP link. #59"
ham,"Go until jurong point, crazy.. #60"
ham,Ok lar. Joking wif u oni. #61
spam,Free entry in 2 a wkly comp to win FA Cup. #62
ham,U dun say so early hor. U c already then say. #63
ham,"Nah I don't think he goes to usf, he lives around here though #64"
spam,WINNER!! As a valued network customer you have been selected. #65
ham,I'm gonna be home soon and i don't want to talk about this stuff anymore tonight. #66
ham,I've been searching for the right words to thank you for this breather. #67
spam,"SIX chances to win CASH! From 100 to 20,000 pounds txt> CSH11 and send to 87575. #68"
spam,"XXXMobileMovieClub: To use your credit, click the WAP link. #69"
ham,"Go until jurong point, crazy.. #70"
ham,Ok lar. Joking wif u oni. #71
spam,Free entry in 2 a wkly comp to win FA Cup. #72
ham,U dun say so early hor. U c already then say. #73
ham,"Nah I don't think he goes to usf, he lives around here though #74"
spam,WINNER!! As a valued network customer you have been selected. #75
ham,I'm gonna be home soon and i don't want to talk about this stuff anymore tonight. #76
ham,I've been searching for the right words to thank you for this breather. #77
spam,"SIX chances to win CASH! From 100 to 20,000 pounds txt> CSH11 and send to 87575. #78"
spam,"XXXMobileMovieClub: To use your credit, click the WAP link. #79"
ham,"Go until jurong point, crazy.. #80"
ham,Ok lar. Joking wif u oni. #81
spam,Free entry in 2 a wkly comp to win FA Cup. #82
ham,U dun say so early hor. U c already then say. #83
ham,"Nah I don't think he goes to usf, he lives around here though #84"
spam,WINNER!! As a valued network customer you have been selected. #85
ham,I'm gonna be home soon and i don't want to talk about this stuff anymore tonight. #86
ham,I've been searching for the right words to thank you for this breather. #87
spam,"SIX chances to win CASH! From 100 to 20,000 pounds txt> CSH11 and send to 87575. #88"
spam,"XXXMobileMovieClub: To use your credit, click the WAP link. #89"
ham,"Go until jurong point, crazy.. #90"
ham,Ok lar. Joking wif u oni. #91
spam,Free entry in 2 a wkly comp to win FA Cup. #92
ham,U dun say so early hor. U c already then say. #93
ham,"Nah I don't think he goes to usf, he lives around here though #94"
spam,WINNER!! As a valued network customer you have been selected. #95
