iter	RMSE
0	88169.21201
1	86947.92578
2	86082.37941
3	85024.9945
4	84134.97992
5	83204.6813
6	82429.85974
7	81654.41733
8	80610.31221
9	79838.47818
10	79195.90068
11	78372.23191
12	77571.1846
13	76817.88258
14	76001.78539
15	75360.52311
16	74787.72935
17	73992.03284
18	73270.05362
19	72520.8713
20	71608.28753
21	70889.07766
22	70170.7395
23	69655.57093
24	68978.40899
25	68098.20344
26	67501.94612
27	66812.99958
28	66123.78071
29	65615.12364
30	65015.89778
31	64322.3452
32	63664.1923
33	62964.46475
34	62375.71995
35	61667.78193
36	61177.7694
37	60493.45539
38	59968.88604
39	59373.70043
40	58806.34697
41	58305.47772
42	57742.07819
43	57100.78345
44	56618.8672
45	56158.88528
46	55642.97086
47	55204.57808
48	54667.95252
49	53975.70247
50	53512.3947
51	52972.27905
52	52474.05205
53	51949.30482
54	51568.28849
55	51147.67933
56	50528.36591
57	50039.15929
58	49585.41097
59	49098.87756
60	48459.18505
61	48042.7696
62	47520.58467
63	47121.41666
64	46699.03468
65	46241.86278
66	45801.16219
67	45417.78854
68	44782.9917
69	44420.58026
70	44029.62741
71	43524.24708
72	43194.18494
73	42729.9286
74	42345.04944
75	41923.83828
76	41544.85898
77	41151.89053
78	40800.5557
79	40454.44716
80	40099.56279
81	39742.38921
82	39258.89776
83	38939.76716
84	38656.04485
85	38148.77245
86	37834.03519
87	37530.26793
88	37151.12305
89	36841.99593
90	36543.53004
91	36263.08272
92	35845.22377
93	35441.91881
94	35116.58931
95	34861.63671
96	34492.56392
97	34221.53887
98	33867.93427
99	33500.81133
100	33224.51308
101	32894.17522
102	32616.07158
103	32281.65434
104	32028.72629
105	31800.23986
106	31529.62046
107	31079.22088
108	30767.1662
109	30554.41215
110	30268.25831
111	29911.40301
112	29649.65624
113	29369.6357
114	29126.04864
115	28919.76923
116	28654.58961
117	28341.05423
118	28122.51186
119	27883.38274
120	27642.41633
121	27406.08221
122	27143.99927
123	26807.14476
124	26601.32357
125	26360.59529
126	26009.98443
127	25792.08595
128	25606.49879
129	25416.25555
130	25271.91933
131	25110.82917
132	24914.32083
133	24725.47806
134	24524.67583
135	24313.02987
136	24121.36548
137	23858.56519
138	23660.8184
139	23405.96978
140	23113.09827
141	22910.20121
142	22711.03629
143	22480.01116
144	22309.42459
145	22085.21529
146	21897.41563
147	21747.99586
148	21579.42781
149	21389.51254
150	21239.00138
151	21075.90675
152	20826.49728
153	20672.90346
154	20521.67536
155	20343.08135
156	20188.14765
157	20041.86106
158	19883.94343
159	19780.32035
160	19630.79954
161	19441.36684
162	19240.49561
163	19111.04755
164	18974.21493
165	18831.78784
166	18671.73513
167	18538.15459
168	18337.12493
169	18203.09226
170	18084.95707
171	17895.70998
172	17743.42758
173	17594.0504
174	17488.19435
175	17361.2162
176	17234.64215
177	17077.36128
178	16959.80788
179	16828.64583
180	16703.00949
181	16596.75873
182	16435.87346
183	16307.57031
184	16177.22685
185	16082.03687
186	15943.13266
187	15824.5039
188	15676.60517
189	15554.42284
190	15455.67713
191	15339.33811
192	15228.47662
193	15114.68145
194	15026.93069
195	14912.35365
196	14802.25249
197	14669.22755
198	14532.17073
199	14439.26241
200	14332.37321
201	14234.94621
202	14135.01099
203	14010.60895
204	13930.51718
205	13838.77188
206	13755.86707
207	13680.11884
208	13585.10226
209	13493.15966
210	13376.0584
211	13276.74268
212	13159.14875
213	13070.36371
214	12989.62267
215	12907.16515
216	12810.11264
217	12711.84013
218	12607.24173
219	12529.62747
220	12442.06814
221	12357.64763
222	12286.33177
223	12212.11491
224	12132.6889
225	12056.85623
226	11981.56967
227	11889.57483
228	11795.98398
229	11720.68805
230	11643.13313
231	11547.61955
232	11467.07117
233	11395.74544
234	11295.09056
235	11219.89755
236	11153.71556
237	11055.05891
238	10969.81909
239	10907.70998
240	10845.21096
241	10772.17463
242	10692.37835
243	10628.38018
244	10567.09004
245	10502.04049
246	10446.81258
247	10356.43697
248	10298.21862
249	10226.77862
250	10156.18574
251	10092.15997
252	10028.04027
253	9946.106425
254	9879.29625
255	9822.483714
256	9758.777572
257	9700.523379
258	9640.605654
259	9565.594189
260	9507.94189
261	9456.58425
262	9396.756833
263	9343.557247
264	9290.857201
265	9235.518831
266	9164.347122
267	9116.448656
268	9056.410752
269	9008.582521
270	8957.56802
271	8899.587502
272	8853.508375
273	8798.022191
274	8747.695535
275	8675.285496
276	8616.362136
277	8563.109815
278	8513.127934
279	8455.457495
280	8410.759929
281	8365.524431
282	8318.211169
283	8268.655461
284	8216.768001
285	8168.504872
286	8123.356299
287	8070.628667
288	8018.530722
289	7966.904449
290	7928.245621
291	7884.201365
292	7833.811377
293	7788.122371
294	7740.913054
295	7694.819795
296	7648.437759
297	7603.570075
298	7555.594184
299	7508.194329
300	7464.327196
301	7418.013443
302	7377.322162
303	7334.742433
304	7291.988204
305	7250.532212
306	7206.139257
307	7165.79186
308	7128.598066
309	7085.832862
310	7044.023892
311	7000.652076
312	6959.003378
313	6919.530645
314	6884.312609
315	6847.215695
316	6811.66919
317	6775.357057
318	6738.525808
319	6701.35944
320	6667.832986
321	6632.783002
322	6595.832529
323	6563.236403
324	6528.76574
325	6491.243605
326	6452.629909
327	6417.565886
328	6386.357018
329	6355.502635
330	6324.998915
331	6285.388596
332	6249.853686
333	6217.056375
334	6183.368543
335	6147.257775
336	6112.918794
337	6081.441081
338	6046.212349
339	6008.676266
340	5980.486431
341	5949.618092
342	5919.397663
343	5888.134823
344	5858.409847
345	5826.977577
346	5796.552054
347	5767.143473
348	5735.99595
349	5705.226446
350	5685.545302
351	5655.302612
352	5626.223051
353	5594.820173
354	5566.9453
355	5537.727908
356	5518.877927
357	5494.154423
358	5465.645461
359	5438.174424
360	5410.207866
361	5383.295329
362	5365.462865
363	5338.168778
364	5312.750848
365	5286.727981
366	5258.358838
367	5231.96958
368	5214.98979
369	5198.168272
370	5181.416984
371	5155.758399
372	5130.416626
373	5114.172285
374	5089.274159
375	5073.312151
376	5057.500479
377	5034.220382
378	5018.666722
379	5003.260247
380	4979.368174
381	4955.293727
382	4932.864649
383	4909.41074
384	4894.613762
385	4879.957868
386	4865.441959
387	4842.98708
388	4828.729653
389	4806.672857
390	4792.670046
391	4771.457534
392	4757.687084
393	4736.795675
394	4715.198077
395	4701.764766
396	4688.461625
397	4668.891639
398	4648.069557
399	4628.921755
400	4616.057483
401	4603.318734
402	4590.704492
403	4571.106481
404	4551.718289
405	4532.537609
406	4513.090547
407	4500.963834
408	4481.963414
409	4470.054665
410	4451.587143
411	4439.880217
412	4421.694486
413	4403.704275
414	4385.722149
415	4374.390795
416	4356.833061
417	4345.694915
418	4334.668051
419	4312.8166
420	4295.753388
421	4285.0212
422	4274.396872
423	4257.672112
424	4238.541482
425	4222.122141
426	4201.46841
427	4185.366689
428	4165.178467
429	4145.312305
430	4135.403043
431	4112.330449
432	4102.594613
433	4092.95799
434	4073.862592
435	4055.073426
436	4036.586
437	4027.330062
438	4005.201695
439	3987.130925
440	3970.493962
441	3956.791301
442	3936.965252
443	3915.660887
444	3899.61932
445	3891.373297
446	3870.513584
447	3857.611559
448	3841.252021
449	3823.250596
450	3805.523444
451	3789.703711
452	3777.615808
453	3762.199158
454	3754.604859
455	3739.493544
456	3724.621084
457	3709.983758
458	3695.577898
459	3688.309058
460	3674.769639
461	3658.539506
462	3642.34992
463	3627.844275
464	3613.556237
465	3600.738798
466	3593.937332
467	3578.75251
468	3572.17432
469	3565.323512
470	3558.370945
471	3543.637589
472	3537.336144
473	3522.105688
474	3507.553666
475	3490.088651
476	3483.677536
477	3469.527586
478	3455.580291
479	3438.61043
480	3423.990504
481	3418.155653
482	3404.82165
483	3399.178465
484	3393.246442
485	3376.809562
486	3363.922738
487	3358.506968
488	3353.149878
489	3340.414053
490	3326.434075
491	3306.011118
492	3293.603965
493	3273.550665
494	3259.970679
495	3245.83561
496	3226.247307
497	3213.006334
498	3199.924309
499	3186.999374
500	3173.254868
501	3160.578497
502	3145.454172
503	3132.981956
504	3118.095844
505	3103.394395
506	3098.780797
507	3093.909042
508	3089.090771
509	3078.128638
510	3073.709328
511	3059.449042
512	3045.366617
513	3032.954777
514	3028.602041
515	3014.800647
516	3010.542157
517	2992.586453
518	2978.611321
519	2974.469049
520	2970.389534
521	2958.562671
522	2954.579991
523	2945.276194
524	2941.377926
525	2931.532708
526	2922.453602
527	2911.157146
528	2897.115089
529	2893.379716
530	2884.603078
531	2870.884301
532	2853.899451
533	2839.469707
534	2828.747376
535	2813.245355
536	2802.733745
537	2792.576886
538	2780.353425
539	2776.887538
540	2773.473511
541	2765.075046
542	2754.9577
543	2744.996286
544	2735.188498
545	2731.930612
546	2722.302203
547	2714.504675
548	2703.083344
549	2692.569828
550	2683.384684
551	2673.066686
552	2662.02043
553	2658.964361
554	2644.605483
555	2630.43202
556	2619.776609
557	2616.82793
558	2602.965503
559	2589.281764
560	2575.774358
561	2572.932242
562	2570.129891
563	2563.186402
564	2560.438353
565	2557.728442
566	2544.547269
567	2531.535868
568	2524.870112
569	2518.30884
570	2505.599998
571	2493.054865
572	2486.72689
573	2478.121334
574	2465.825834
575	2453.688404
576	2447.594856
577	2440.805563
578	2434.842716
579	2426.46456
580	2417.125442
581	2410.492368
582	2404.699286
583	2395.642996
584	2389.147057
585	2383.518353
586	2376.616744
587	2367.62799
588	2358.840956
589	2350.180351
590	2342.279454
591	2333.791191
592	2331.552623
593	2329.343399
594	2316.750985
595	2314.590085
596	2312.457355
597	2310.352385
598	2308.274773
