iter	Passed	Remaining
0	143	143414
1	151	75594
2	166	55333
3	171	42786
4	179	35802
5	197	32749
6	213	30311
7	228	28341
8	244	26892
9	259	25660
10	274	24657
11	284	23402
12	296	22527
13	314	22173
14	330	21679
15	344	21203
16	359	20785
17	372	20308
18	386	19973
19	401	19681
20	409	19073
21	424	18851
22	439	18650
23	453	18446
24	468	18254
25	477	17899
26	493	17799
27	510	17716
28	525	17580
29	539	17447
30	555	17358
31	567	17177
32	583	17104
33	596	16949
34	606	16729
35	621	16652
36	636	16575
37	649	16437
38	667	16450
39	684	16416
40	700	16393
41	719	16418
42	737	16423
43	765	16634
44	789	16764
45	817	16959
46	840	17035
47	864	17147
48	890	17273
49	908	17255
50	923	17178
51	942	17190
52	963	17211
53	983	17223
54	1006	17287
55	1025	17288
56	1038	17175
57	1054	17126
58	1074	17140
59	1095	17155
60	1110	17086
61	1122	16979
62	1128	16780
63	1148	16793
64	1168	16813
65	1185	16771
66	1208	16823
67	1224	16777
68	1236	16689
69	1252	16638
70	1267	16584
71	1272	16400
72	1288	16363
73	1305	16336
74	1321	16293
75	1331	16186
76	1338	16049
77	1354	16005
78	1369	15963
79	1384	15925
80	1402	15908
81	1426	15966
82	1440	15911
83	1468	16009
84	1497	16115
85	1511	16060
86	1537	16133
87	1567	16250
88	1589	16266
89	1616	16341
90	1644	16424
91	1669	16480
92	1678	16369
93	1706	16445
94	1719	16377
95	1740	16394
96	1756	16353
97	1781	16396
98	1808	16454
99	1827	16448
100	1847	16447
101	1869	16456
102	1886	16426
103	1902	16392
104	1923	16399
105	1940	16369
106	1953	16302
107	1961	16204
108	1978	16171
109	1996	16150
110	2013	16128
111	2029	16090
112	2045	16056
113	2053	15960
114	2070	15934
115	2086	15899
116	2102	15866
117	2117	15831
118	2133	15794
119	2148	15758
120	2164	15723
121	2177	15671
122	2194	15644
123	2211	15622
124	2237	15659
125	2246	15582
126	2258	15527
127	2282	15550
128	2305	15564
129	2329	15589
130	2346	15564
131	2364	15546
132	2380	15519
133	2396	15487
134	2412	15454
135	2421	15384
136	2426	15288
137	2437	15224
138	2453	15194
139	2465	15143
140	2473	15070
141	2489	15040
142	2504	15012
143	2518	14971
144	2536	14956
145	2546	14893
146	2564	14880
147	2581	14862
148	2600	14853
149	2617	14835
150	2636	14826
151	2654	14810
152	2663	14743
153	2680	14725
154	2697	14708
155	2715	14693
156	2731	14668
157	2749	14655
158	2766	14633
159	2772	14554
160	2788	14530
161	2804	14507
162	2814	14453
163	2832	14439
164	2849	14419
165	2866	14401
166	2884	14389
167	2902	14374
168	2921	14365
169	2939	14351
170	2960	14351
171	2968	14292
172	2984	14267
173	2999	14238
174	3014	14212
175	3028	14180
176	3044	14155
177	3058	14125
178	3074	14101
179	3091	14084
180	3107	14061
181	3122	14034
182	3140	14020
183	3156	13997
184	3171	13972
185	3187	13949
186	3198	13907
187	3216	13891
188	3233	13872
189	3249	13852
190	3265	13829
191	3284	13823
192	3302	13806
193	3318	13785
194	3333	13762
195	3348	13737
196	3363	13708
197	3377	13681
198	3392	13656
199	3408	13635
200	3423	13609
201	3438	13583
202	3455	13565
203	3470	13540
204	3484	13514
205	3500	13492
206	3515	13469
207	3531	13447
208	3581	13555
209	3617	13608
210	3636	13597
211	3651	13574
212	3659	13522
213	3675	13498
214	3690	13476
215	3706	13453
216	3724	13438
217	3742	13423
218	3766	13433
219	3790	13437
220	3808	13424
221	3827	13412
222	3842	13388
223	3856	13361
224	3872	13337
225	3887	13312
226	3902	13287
227	3916	13262
228	3932	13239
229	3946	13213
230	3961	13187
231	3975	13160
232	3989	13132
233	4012	13133
234	4027	13109
235	4041	13083
236	4055	13056
237	4070	13033
238	4085	13009
239	4100	12984
240	4115	12960
241	4130	12936
242	4145	12913
243	4159	12888
244	4174	12863
245	4188	12837
246	4202	12812
247	4216	12786
248	4231	12763
249	4246	12738
250	4260	12714
251	4275	12690
252	4293	12677
253	4307	12651
254	4321	12626
255	4335	12601
256	4350	12578
257	4365	12555
258	4379	12530
259	4393	12504
260	4407	12480
261	4421	12455
262	4437	12434
263	4458	12430
264	4479	12423
265	4500	12419
266	4531	12440
267	4566	12473
268	4621	12559
269	4658	12594
270	4678	12584
271	4697	12573
272	4716	12559
273	4739	12556
274	4760	12551
275	4800	12592
276	4830	12607
277	4851	12598
278	4871	12588
279	4890	12575
280	4913	12571
281	4933	12562
282	4952	12547
283	4970	12531
284	4989	12516
285	5009	12504
286	5035	12510
287	5054	12495
288	5073	12482
289	5092	12467
290	5110	12450
291	5128	12434
292	5145	12416
293	5162	12397
294	5180	12380
295	5197	12361
296	5214	12343
297	5234	12330
298	5258	12329
299	5289	12342
300	5308	12328
301	5326	12310
302	5342	12288
303	5358	12267
304	5373	12245
305	5389	12222
306	5406	12204
307	5426	12191
308	5446	12179
309	5463	12160
310	5477	12134
311	5491	12108
312	5505	12082
313	5519	12057
314	5533	12032
315	5548	12009
316	5562	11985
317	5577	11962
318	5591	11936
319	5608	11917
320	5622	11892
321	5636	11867
322	5654	11851
323	5673	11836
324	5689	11816
325	5704	11793
326	5718	11769
327	5734	11749
328	5750	11728
329	5774	11724
330	5833	11789
331	5852	11774
332	5868	11755
333	5884	11733
334	5901	11714
335	5917	11693
336	5934	11675
337	5950	11654
338	5968	11637
339	5984	11617
340	6007	11610
341	6026	11595
342	6042	11574
343	6058	11553
344	6074	11532
345	6093	11518
346	6109	11496
347	6123	11473
348	6138	11449
349	6152	11426
350	6167	11402
351	6181	11379
352	6195	11356
